"","source","target","weight"
"197",86,38,0.114415168333413
"198",38,86,0.114415168333413
"199",81,74,0.114007232651952
"200",74,81,0.114007232651952
"201",4,5,0.113911473962418
"202",5,4,0.113911473962418
"203",74,66,0.113680661862106
"204",66,74,0.113680661862106
"205",96,94,0.113150518025363
"206",94,96,0.113150518025363
"207",13,1,0.113140294104557
"208",1,13,0.113140294104557
"209",72,59,0.112487406377302
"210",59,72,0.112487406377302
"211",1,16,0.111402067568823
"212",16,1,0.111402067568823
"213",91,87,0.111338733854708
"214",87,91,0.111338733854708
"215",72,68,0.110856620740698
"216",68,72,0.110856620740698
"217",83,58,0.11070540118194
"218",58,83,0.11070540118194
"219",59,60,0.110480284077207
"220",60,59,0.110480284077207
"221",7,6,0.110268827865859
"222",6,7,0.110268827865859
"223",54,43,0.110028449823688
"224",43,54,0.110028449823688
"225",88,87,0.110018997416303
"226",87,88,0.110018997416303
"227",81,68,0.109707040776804
"228",68,81,0.109707040776804
"229",107,110,0.108633217762305
"230",110,107,0.108633217762305
"231",94,88,0.108445948106669
"232",88,94,0.108445948106669
"233",93,86,0.10839725261778
"234",86,93,0.10839725261778
"235",105,109,0.10836714419607
"236",109,105,0.10836714419607
"237",81,59,0.108213630682782
"238",59,81,0.108213630682782
"239",93,91,0.108172769750525
"240",91,93,0.108172769750525
"241",59,0,0.107884729995039
"242",0,59,0.107884729995039
"243",93,90,0.107587726484904
"244",90,93,0.107587726484904
"245",85,76,0.107455198422305
"246",76,85,0.107455198422305
"247",105,106,0.107147938899106
"248",106,105,0.107147938899106
"249",11,18,0.106820593181802
"250",18,11,0.106820593181802
"251",53,40,0.106615736339127
"252",40,53,0.106615736339127
"253",100,86,0.106527602478195
"254",86,100,0.106527602478195
"255",85,66,0.106435274238584
"256",66,85,0.106435274238584
"257",86,91,0.106302231990521
"258",91,86,0.106302231990521
"259",76,68,0.106271365093971
"260",68,76,0.106271365093971
"261",84,81,0.105620173266149
"262",81,84,0.105620173266149
"263",86,42,0.105600663990911
"264",42,86,0.105600663990911
"265",121,116,0.105482138179336
"266",116,121,0.105482138179336
"267",40,47,0.105057031360075
"268",47,40,0.105057031360075
"269",84,66,0.10500764738472
"270",66,84,0.10500764738472
"271",56,54,0.104519467246621
"272",54,56,0.104519467246621
"273",7,1,0.10436698512024
"274",1,7,0.10436698512024
"275",9,1,0.104190438196879
"276",1,9,0.104190438196879
"277",96,86,0.104132199971662
"278",86,96,0.104132199971662
"279",43,8,0.103904289890729
"280",8,43,0.103904289890729
"281",96,93,0.103765772327533
"282",93,96,0.103765772327533
"283",68,69,0.103698665822856
"284",69,68,0.103698665822856
"285",105,111,0.103601495381788
"286",111,105,0.103601495381788
"287",75,62,0.1034677543423
"288",62,75,0.1034677543423
"289",6,16,0.103276152608614
"290",16,6,0.103276152608614
"291",101,98,0.103256144994452
"292",98,101,0.103256144994452
"293",68,59,0.103028225467186
"294",59,68,0.103028225467186
"295",72,74,0.102837497880299
"296",74,72,0.102837497880299
"297",17,104,0.10274532177468
"298",104,17,0.10274532177468
"299",53,39,0.102678992397389
"300",39,53,0.102678992397389
"301",126,128,0.102662102007246
"302",128,126,0.102662102007246
"303",54,36,0.10245853528709
"304",36,54,0.10245853528709
"305",37,0,0.102394538386479
"306",0,37,0.102394538386479
"307",59,70,0.101359389355351
"308",70,59,0.101359389355351
"309",79,78,0.101314779069677
"310",78,79,0.101314779069677
"311",3,7,0.101272085564766
"312",7,3,0.101272085564766
"313",68,62,0.101076235871685
"314",62,68,0.101076235871685
"315",53,43,0.100760645330737
"316",43,53,0.100760645330737
"317",85,72,0.100757537396546
"318",72,85,0.100757537396546
"319",45,43,0.100441262994576
"320",43,45,0.100441262994576
"321",78,72,0.10029417131976
"322",72,78,0.10029417131976
"323",47,36,0.0995273375920633
"324",36,47,0.0995273375920633
"325",18,13,0.0993397781961679
"326",13,18,0.0993397781961679
"327",72,71,0.099150427889695
"328",71,72,0.099150427889695
"329",56,49,0.099050862792053
"330",49,56,0.099050862792053
"331",13,0,0.0986401230745307
"332",0,13,0.0986401230745307
"333",49,43,0.0984392440659287
"334",43,49,0.0984392440659287
"335",81,62,0.0982886968580468
"336",62,81,0.0982886968580468
"337",54,46,0.0977009951939573
"338",46,54,0.0977009951939573
"339",92,91,0.0976747421561263
"340",91,92,0.0976747421561263
"341",75,66,0.0973239959821274
"342",66,75,0.0973239959821274
"343",76,58,0.0972715148861714
"344",58,76,0.0972715148861714
"345",50,36,0.0970356857163708
"346",36,50,0.0970356857163708
"347",81,76,0.0964939294228289
"348",76,81,0.0964939294228289
"349",66,68,0.0963041194437263
"350",68,66,0.0963041194437263
"351",7,4,0.0961597878260909
"352",4,7,0.0961597878260909
"353",18,12,0.0957505202352662
"354",12,18,0.0957505202352662
"355",9,0,0.0954593112711516
"356",0,9,0.0954593112711516
"357",49,37,0.0952161490892117
"358",37,49,0.0952161490892117
"359",100,98,0.0950037893872467
"360",98,100,0.0950037893872467
"361",77,66,0.0949975142095068
"362",66,77,0.0949975142095068
"363",17,24,0.0948266602431148
"364",24,17,0.0948266602431148
"365",15,1,0.0948122400071813
"366",1,15,0.0948122400071813
"367",78,66,0.0946773845676139
"368",66,78,0.0946773845676139
"369",95,86,0.0946039763008316
"370",86,95,0.0946039763008316
"371",72,75,0.0945570513590488
"372",75,72,0.0945570513590488
"373",8,0,0.0943966567953646
"374",0,8,0.0943966567953646
"375",17,3,0.0941239405558055
"376",3,17,0.0941239405558055
"377",17,15,0.0939378095498298
"378",15,17,0.0939378095498298
"379",111,106,0.0939268676361549
"380",106,111,0.0939268676361549
"381",15,0,0.0938999053073807
"382",0,15,0.0938999053073807
"383",97,86,0.0938429596042107
"384",86,97,0.0938429596042107
"385",18,0,0.0934569695670749
"386",0,18,0.0934569695670749
"387",60,0,0.0933140672323781
"388",0,60,0.0933140672323781
"389",90,95,0.0932177921539015
"390",95,90,0.0932177921539015
"391",29,2,0.0931395371184734
